"basic","country","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"air","Japan","3,652","4,143","4,530","4,464","4,717","5,072","5,061","5,496","5,428","6,399","7,022","7,607","8,486","8,448","7,147","8,741","6,681","8,567","10,635","13,511","19,117","22,618","26,687","29,323","30,644","4,278","0"
"water","Japan","80","102","140","93","185","200","225","276","299","357","428","501","666","698","435","703","454","605","620","639","571","601","742","779","543","29","0"
"land","Japan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"total","South Korea","2,922","2,879","3,087","3,503","3,917","4,369","4,275","4,393","3,850","4,929","5,180","6,155","6,449","6,891","7,818","8,797","9,795","11,140","12,176","14,202","13,232","17,242","13,336","15,347","17,503","2,519","0"
"air","South Korea","2,721","2,656","2,848","3,275","3,646","4,045","3,948","4,067","3,536","4,529","4,776","5,116","5,448","5,822","6,725","7,518","8,375","9,759","9,892","11,557","10,733","13,715","11,782","13,956","15,740","2,241","0"
"water","South Korea","201","223","239","228","271","324","327","326","314","400","404","1,039","1,001","1,069","1,093","1,279","1,420","1,381","2,284","2,644","2,499","3,527","1,554","1,391","1,763","279","0"
"land","South Korea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"total","Mexico","20,241","21,395","19,351","19,392","19,043","20,641","19,810","19,667","18,665","20,618","21,915","21,352","21,606","22,931","21,346","23,290","23,403","23,403","24,151","29,346","32,093","35,079","39,291","41,313","45,024","24,284","0"
"air","Mexico","5,626","6,317","6,978","7,086","7,301","7,973","7,662","7,334","7,696","8,870","9,936","10,153","10,617","11,007","8,675","10,619","10,844","11,361","12,221","13,463","15,248","16,878","18,548","19,368","19,635","8,338","0"
"water","Mexico","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"land","Mexico","14,615","15,078","12,373","12,306","11,742","12,668","12,148","12,333","10,969","11,748","11,979","11,199","10,989","11,924","12,671","12,671","12,559","12,042","11,929","15,883","16,845","18,201","20,743","21,945","25,390","15,946","0"
"total","Peru","479","584","650","770","727","814","900","998","1,070","1,350","1,570","1,720","1,916","2,057","2,140","2,299","2,598","2,846","3,164","3,215","3,456","3,744","4,032","4,419","4,372","897","444"
"air","Peru","356","425","459","552","543","599","547","589","618","803","950","970","1,132","1,292","1,344","1,378","1,563","1,717","1,935","1,925","2,034","2,185","2,380","2,586","2,737","530","444"
"water","Peru","5","5","6","5","14","6","6","7","7","10","11","20","25","25","33","24","24","22","19","32","31","31","32","32","20","11","0"
"land","Peru","118","154","185","213","170","209","347","402","445","537","609","730","759","740","763","897","1,011","1,107","1,210","1,257","1,391","1,528","1,621","1,802","1,615","355","0"
"total","Spain","32,971","34,027","37,131","41,892","45,440","46,402","48,565","50,330","50,854","52,430","55,913","58,005","58,665","57,192","52,178","52,677","56,177","57,464","60,676","64,939","68,170","75,315","81,869","82,808","83,509","18,933","31,181"
"air","Spain","23,934","24,658","27,677","30,457","32,574","34,380","35,331","34,947","36,923","38,524","40,730","42,445","44,324","44,397","40,233","40,559","44,614","46,159","48,763","51,823","54,365","60,344","66,640","67,546","68,692","13,658","24,432"
"water","Spain","0","0","0","601","1,085","1,083","1,256","1,225","1,521","1,511","1,772","1,460","1,456","1,452","1,398","1,442","1,416","1,079","908","859","976","1,635","1,966","2,012","1,721","223","227"
"land","Spain","9,037","9,369","9,454","10,834","11,781","10,939","11,978","14,158","12,410","12,395","13,411","14,100","12,885","11,343","10,547","10,677","10,147","10,226","11,005","12,257","12,829","13,336","13,263","13,251","13,097","5,052","6,522"
"total","Thailand","6,951","7,244","7,294","7,843","8,651","9,579","10,133","10,873","10,082","11,738","11,567","13,822","14,464","14,584","14,150","15,936","19,230","22,354","26,547","0","0","32,530","35,592","35,178","39,916","0","0"
"air","Thailand","5,670","6,124","6,205","6,678","7,263","8,077","8,456","8,955","8,164","9,803","9,544","11,495","11,975","11,624","11,100","12,378","14,929","17,803","21,501","0","0","27,218","30,114","32,136","33,482","0","0"
"water","Thailand","159","137","116","178","234","248","250","225","180","247","242","303","280","213","254","486","552","563","705","0","0","474","494","616","761","0","0"
"land","Thailand","1,122","983","973","987","1,154","1,254","1,427","1,693","1,738","1,688","1,781","2,024","2,209","2,747","2,796","3,072","3,749","3,988","4,341","0","0","4,838","4,984","2,426","5,674","0","0"
"total","Türkiye","7,727","8,614","9,689","9,753","7,487","10,429","11,619","13,255","14,029","17,517","21,125","19,820","27,215","31,138","31,760","32,997","36,769","37,716","39,861","41,627","41,114","30,907","37,970","46,113","51,747","15,971","30,039"
"air","Türkiye","5,164","6,240","7,020","6,699","4,687","7,274","8,459","9,990","10,080","12,575","14,980","14,085","20,271","22,974","22,912","23,101","26,026","27,733","29,418","31,034","31,040","22,425","28,114","35,230","39,829","11,765","23,573"
"water","Türkiye","885","922","953","1,111","835","1,145","1,138","745","992","1,152","1,320","1,457","1,812","2,680","2,669","2,122","2,709","2,528","2,616","2,493","2,371","958","838","1,040","1,456","310","408"
"land","Türkiye","1,678","1,452","1,716","1,943","1,965","2,010","2,022","2,520","2,957","3,790","4,825","4,278","5,132","5,484","6,178","7,774","8,034","7,455","7,827","8,100","7,703","7,523","9,018","9,843","10,463","3,896","6,058"
"total","United Arab Emirates","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16,233","19,314","20,894","21,805","23,092","25,282","8,084","0"
"air","United Arab Emirates","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14,249","14,422","15,075","16,316","17,072","17,636","5,963","0"
"water","United Arab Emirates","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","392","318","423","399","397","539","279","0"
