Basic_data_and_indicators,,,Units,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
,Total,,Thousands,3239,3416,3446,3348,3648,4203,4183,4406,4594,5004,4779,4731,4601,4394,4645,5255,5588,5940,6151,6320,6112,6265,6136,6622,7250,1795,2101,
,,Air,Thousands,1317,1368,1368,1305,1439,1481,1428,1403,1429,1450,1515,1492,1487,1393,1252,1295,1268,1357,1281,1343,1391,1392,1336,1558,1662,418,887,
,,Water,Thousands,1922,2048,2078,2043,2209,2722,2755,3003,3165,3554,3265,3239,3114,3001,3393,3960,4320,4583,4870,4977,4721,4873,4800,5064,5587,1376,1214,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ From 2015, break in the series. Source: Inbound tourism survey. Excluding nationals residing abroad.
2/ Arrivals at Bahrain International Airport.
3/ Arrivals at Mina Salman Port
4/ Arrivals through King Fahad Causeway."
,Total,,Thousands,..,1988,2600,2897,3280,3869,4388,4830,4844,5667,6313,7289,7834,8631,8860,11951,6732,8064,9163,10449,9670,10158,11374,12045,11061,1909,3612,
,,Air,Thousands,..,505,552,606,656,720,791,920,974,1176,1301,1544,1642,1855,1941,2280,1521,1628,1615,1706,1048,1069,1197,1151,1221,299,393,
,,Water,Thousands,..,2,4,5,5,6,9,13,8,7,5,12,53,80,94,143,55,55,66,59,40,56,69,81,134,51,7,
,,Land,Thousands,..,1481,2044,2286,2619,3143,3588,3897,3862,4484,5007,5733,6139,6696,6825,9528,5156,6381,7482,8684,8582,9033,10109,10813,9707,1559,3212,
BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,156,166,182,172,173,199,207,207,245,271,208,200,289,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,131,136,148,139,134,151,158,151,187,218,140,151,227,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,25,30,34,33,39,48,49,56,58,53,68,49,62,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ The information for 2019 only includes data relating to the January-September period due to a data gap in the fourth quarter and is therefore not comparable to the series for previous years.
2/ Cruise passengers only."
,Total,,Thousands,927,957,990,1019,947,1078,1035,1021,1090,1273,1111,1101,1191,1165,1154,1197,1187,1053,1079,1079,1179,1227,1345,1356,966,546,..,
,,Air,Thousands,434,438,461,499,507,538,498,492,526,546,544,557,575,568,519,532,568,536,509,521,592,632,664,680,523,207,..,
,,Water,Thousands,493,519,529,520,440,540,537,529,564,727,567,544,616,597,635,665,619,517,570,558,587,595,681,676,443,338,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Data until 2015 without taking into account the Belarusian-Russian border segment. Data from 2016 including estimation of the Belarusian-Russian border segment. Major groupings only.
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,5168,5177,5181,4725,5533,5682,5910,5953,5092,4179,10278,10444,11101,11427,3463,3242,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,122,162,194,200,231,256,253,268,294,324,818,992,1085,1199,438,414,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,5046,5015,4987,4525,5302,5426,5657,5685,4798,3855,9460,9452,10016,10228,3025,2828,
BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,329,350,304,176,181,196,196,200,220,231,237,247,252,245,940,1053,1106,1028,1023,1289,1299,1391,1441,1697,1674,487,437,
,,Air,Thousands,94,94,98,109,115,132,134,130,152,163,175,179,183,178,168,172,182,212,224,239,256,298,322,370,384,110,202,
,,Water,Thousands,10,12,14,11,10,9,9,8,8,8,8,8,10,10,715,789,747,651,688,979,968,1014,1024,1218,1182,349,213,
,,Land,Thousands,225,244,192,56,56,55,53,62,60,60,54,60,59,57,57,92,177,165,111,71,76,78,95,110,108,27,23,
BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,80,96,..,..,..,..,..,..,185,188,190,199,209,220,231,242,255,267,281,295,309,325,..,
,,Air,Thousands,..,..,..,..,36,62,..,..,..,..,..,..,81,71,81,88,73,95,107,98,100,106,112,115,115,121,..,
,,Water,Thousands,..,..,..,..,0,0,..,..,..,..,..,..,7,27,8,25,23,19,20,19,21,22,23,19,20,22,..,
,,Land,Thousands,..,..,..,..,44,34,..,..,..,..,..,..,97,90,101,86,113,106,103,126,134,139,145,161,175,181,..,
BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding nationals residing abroad.
2/ Cruise passengers only."
,Total,,Thousands,557,572,562,558,549,539,458,484,483,478,517,635,660,550,554,580,652,610,576,580,597,642,688,766,805,51,85,
,,Air,Thousands,387,390,380,370,355,332,278,284,257,272,270,299,306,264,236,232,236,232,236,224,220,244,270,282,269,42,72,
,,Water,Thousands,170,182,182,188,194,207,180,200,226,206,247,336,354,286,318,348,416,378,340,356,377,398,418,484,536,9,13,
