Basic_data_and_indicators,,,Units,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals of non-resident visitors at national border. Data by State Border Guard.
,Total,,Thousands,1633,1750,1842,1788,1738,1882,2061,2297,2524,3127,3790,4649,5209,5496,4726,5042,5538,5569,5822,6246,6842,6797,7726,7775,8342,3204,1937,
,,Air,Thousands,107,112,127,142,140,140,156,155,188,299,494,641,857,982,1277,1539,1698,1597,1628,1652,1789,1587,2095,2088,2677,653,839,
,,Water,Thousands,126,102,130,147,121,126,124,174,188,208,210,231,318,328,319,344,399,429,433,418,347,317,518,925,549,163,..,
,,Land,Thousands,1400,1536,1585,1499,1477,1616,1781,1968,2148,2620,3086,3777,4034,4186,3130,3159,3441,3543,3761,4176,4706,4893,5114,4763,5116,2387,1098,
LEBANON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding the Lebanon, Syria and Palestine nationalities."
,Total,,Thousands,..,..,557,603,673,742,837,957,..,..,..,1081,1090,1342,1861,2183,1678,1415,1274,1355,1518,1688,1857,1964,1936,414,890,
,,Air,Thousands,..,..,381,418,448,481,515,582,..,..,..,673,663,900,1261,1406,1368,1287,1203,1282,1422,1564,1716,1802,1738,378,810,
,,Water,Thousands,..,..,2,3,2,1,1,1,..,..,..,387,75,11,12,18,26,56,7,7,19,16,13,13,11,4,7,
,,Land,Thousands,..,..,174,182,223,260,321,374,..,..,..,21,352,431,588,759,284,72,64,65,77,108,128,149,187,32,73,
LESOTHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Due to an improvement in the data collection with the help of “Statistics South Africa”, from 2014 the data are not comparable with those of previous years."
,Total,,Thousands,209,312,313,289,308,302,295,288,329,304,304,357,300,293,344,426,398,423,433,1079,1082,1196,1137,1173,1142,..,..,
,,Air,Thousands,8,12,7,9,9,9,9,9,11,10,11,13,15,15,14,13,12,11,14,..,12,14,12,19,15,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,201,300,306,280,299,293,286,279,318,294,293,344,285,278,330,413,386,412,419,1079,1070,1183,1125,1153,1127,..,..,
LIBERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
LIBYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,1276,913,850,965,963,953,858,952,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,343,309,342,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,51,36,34,39,38,20,18,19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,1225,877,816,926,925,590,531,591,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
LIECHTENSTEIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
LITHUANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,832,1012,1416,1422,1083,1270,1428,1491,1801,2000,2180,1486,1611,1341,1507,1775,1900,2012,2062,2072,2296,2523,2825,2875,937,..,
,,Air,Thousands,..,106,132,132,138,149,148,161,185,199,320,400,517,579,422,510,605,655,704,736,785,908,1044,1234,1326,346,..,
,,Water,Thousands,..,65,64,40,56,58,40,38,55,66,95,170,41,39,38,49,26,33,31,29,31,34,40,49,27,57,..,
,,Land,Thousands,..,661,816,1244,1228,876,1082,1229,1251,1536,1585,1610,928,993,881,948,1144,1212,1277,1297,1256,1354,1440,1542,1522,534,..,
LUXEMBOURG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
"MACAO, CHINA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ 2008: according to Statistics and Census Service, the visitor arrivals figures from year 2008 onward will not include other non-residents namely workers, students, etc."
,Total,,Thousands,7753,8151,7000,6948,7444,9162,10279,11531,11888,16673,18711,21998,27003,22933,21753,24965,28002,28082,29325,31526,30715,30950,32611,35804,39406,5897,7706,
,,Air,Thousands,33,409,537,512,673,834,862,905,655,862,1040,1236,1474,1665,1619,1634,1682,1768,1950,2055,2090,2413,2745,3296,3847,437,501,
,,Water,Thousands,5989,6041,4838,4687,4436,5191,5268,5701,5174,6305,6720,7656,8980,9173,8685,10244,11021,11485,11558,12081,11414,10777,11236,10355,6268,426,201,
,,Land,Thousands,1731,1701,1625,1749,2335,3137,4149,4925,6059,9506,10951,13106,16549,12095,11449,13087,15299,14830,15818,17390,17211,17760,18630,22152,29291,5034,7004,
MADAGASCAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Cruise passengers only.
,Total,,Thousands,75,83,101,121,138,160,170,62,139,229,277,312,344,375,163,196,225,256,196,222,282,333,285,360,486,87,..,
,,Air,Thousands,75,83,101,121,138,160,170,62,139,229,277,312,344,375,163,196,225,256,196,222,244,293,255,291,384,68,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38,40,30,69,102,19,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
MALAWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Departures. 2018 estimates.
,Total,,Thousands,192,193,207,220,254,228,266,383,424,427,438,638,735,742,755,746,767,770,795,819,805,849,837,871,..,..,..,
,,Air,Thousands,54,59,70,75,86,74,84,94,114,114,106,201,232,227,251,224,227,199,220,230,221,233,129,134,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,3,7,5,9,15,21,4,4,3,9,5,2,2,1,1,..,..,..,
,,Land,Thousands,138,134,137,145,168,154,182,289,310,310,325,432,494,500,483,518,536,569,566,584,582,614,707,736,..,..,..,
MALAYSIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including Singapore residents crossing the frontier by road through Johore Causeway.
,Total,,Thousands,7122,6775,5859,5203,7456,9609,12062,12644,10085,14651,15420,16236,19217,19762,..,..,..,..,25715,27437,25721,26757,25948,25832,26101,4333,135,
,,Air,Thousands,1830,1680,1906,1559,1933,3265,2827,2434,1810,1988,2846,3348,4032,4883,..,..,..,..,7096,7789,7450,6192,6606,8965,9614,1648,69,
,,Water,Thousands,207,224,201,427,762,371,420,245,265,330,449,523,1005,832,..,..,..,..,738,837,971,1368,1060,1180,1289,313,2,
,,Land,Thousands,5085,4871,3752,3217,4761,5973,8815,9965,8010,12333,12125,12365,14180,14047,..,..,..,..,17882,18812,17299,19197,18282,15687,15198,2372,64,
MALDIVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,315,339,366,396,430,467,461,485,564,617,395,602,676,683,656,792,931,958,1125,1205,1234,1286,1390,1484,1703,555,1322,
,,Air,Thousands,315,339,366,396,430,467,461,485,564,617,395,602,676,683,656,792,931,958,1125,1205,1234,1286,1390,1484,1703,555,1322,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
MALI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ 2015: partial data corresponding to Bih frontier, in the Mopti region."
,Total,,Thousands,42,98,75,83,82,86,89,96,110,113,143,153,164,..,160,169,160,134,142,168,159,173,193,203,217,75,..,
,,Air,Thousands,42,98,75,83,82,86,89,96,110,113,143,153,164,..,116,129,130,101,121,152,159,173,193,203,217,75,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44,40,30,33,21,16,"0,1",..,..,..,..,..,..,
MALTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ From 2004 data based on departures by air and by sea.
,Total,,Thousands,1116,1054,1111,1182,1214,1216,1180,1133,1126,1156,1171,1124,1244,1291,1182,1339,1415,1443,1582,1690,1783,1966,2274,2599,2753,659,968,
,,Air,Thousands,1039,973,1040,1102,1143,1177,1145,1098,1097,1127,1151,1104,1224,1270,1166,1309,1375,1401,1539,1641,1738,1918,2227,2552,2702,640,944,
,,Water,Thousands,77,81,71,80,71,39,35,35,29,29,20,20,20,21,16,30,40,42,43,49,45,48,47,47,51,19,24,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
MARSHALL ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ 2014-2018 Source: South Pacific Tourism Organisation - Regional Tourism Resource Centre.
,Total,,Thousands,"5,5","6,2","6,4","6,4","4,6","5,2","5,4",6,"7,2",9,"9,2","5,8","7,2",6,"5,4","4,6","4,6","4,6",..,"4,9","6,3","5,4",6,"6,8","6,1","1,2",..,
,,Air,Thousands,"5,5","6,2","6,4","6,4","4,6","5,2","5,4",6,"7,2",7,"7,5","5,8","7,2",6,"4,9","4,6","4,6","4,6",..,"4,9","6,3","5,4",6,"6,8","6,1","1,2",..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,2,"1,7",..,..,..,"0,5",..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
MARTINIQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,477,513,549,564,526,460,447,454,471,484,503,501,481,442,478,496,488,490,490,487,519,536,537,556,312,..,
,,Air,Thousands,..,425,464,498,511,475,419,393,384,404,439,465,469,457,418,451,475,462,476,473,462,496,520,515,517,300,..,
,,Water,Thousands,..,52,49,51,53,51,41,54,70,67,45,38,32,24,24,27,21,26,14,16,26,23,16,22,39,12,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
MAURITANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
MAURITIUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,422,486,536,558,578,656,660,682,702,719,761,788,907,930,871,935,965,965,993,1038,1151,1275,1342,1399,1383,309,180,
,,Air,Thousands,416,480,529,541,564,646,650,668,690,708,748,775,895,914,848,911,940,949,980,1035,1132,1247,1312,1360,1338,279,179,
,,Water,Thousands,6,6,7,17,14,10,10,14,12,11,13,13,12,16,23,24,25,17,13,3,19,28,30,40,45,30,1,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
MEXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Including nationals residing abroad.
2/ Including rail."
,Total,,Thousands,20241,21395,19351,19392,19043,20641,19810,19667,18665,20618,21915,21352,21606,22931,21346,23290,23403,23403,24151,29346,32093,35079,39291,41313,45024,24284,..,
,,Air,Thousands,5626,6317,6978,7086,7301,7973,7662,7334,7696,8870,9936,10153,10617,11007,8675,10619,10844,11361,12221,13463,15248,16878,18548,19368,19635,8338,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,14615,15078,12373,12306,11742,12668,12148,12333,10969,11748,11979,11199,10989,11924,12671,12671,12559,12042,11929,15883,16845,18201,20743,21945,25390,15946,..,
"MICRONESIA, FEDERATED STATES OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
"MOLDOVA, REPUBLIC OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
MONACO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,270,262,235,250,286,313,328,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,169,169,151,168,196,222,230,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,101,93,84,82,90,91,98,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
MONGOLIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
MONTENEGRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
MONTSERRAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,"9,8","9,8","8,4","10,1","9,7",8,"7,8","7,4","6,3",6,"5,4","7,3","7,2","8,8","8,9","8,7","9,5","10,2","10,4","4,5","1,6",
,,Air,Thousands,..,..,..,..,..,..,"1,8","1,9","1,3","1,6","5,6","7,9","7,7","6,8","5,6","5,1","4,1","4,1","4,5","4,1","4,1",6,"4,1","4,4",4,"1,9","1,6",
,,Water,Thousands,..,..,..,..,..,..,8,"7,9","7,1","8,5","4,1","0,1","0,1","0,6","0,7","0,9","1,3","3,2","2,7","4,7","4,8","2,7","5,4","5,8","6,4","2,6",..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
MOROCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including nationals residing abroad.
,Total,,Thousands,2602,2693,3072,3095,3816,4278,4380,4453,4761,5477,5844,6558,7408,7879,8341,9289,9342,9375,10046,10283,10177,10332,11349,12289,12932,2778,..,
,,Air,Thousands,1153,1277,1431,1581,1853,2110,2146,2095,2139,2548,2986,3549,4395,4792,5108,6136,6254,6019,6691,6950,6772,6804,7619,8400,9082,2265,..,
,,Water,Thousands,1008,1021,1187,989,1455,1612,1637,1655,1881,2201,2040,1937,1745,1756,1913,1924,1902,1941,1993,2036,2113,2198,2483,2472,2321,293,..,
,,Land,Thousands,441,395,454,525,508,556,597,703,741,728,818,1072,1268,1331,1320,1229,1186,1415,1362,1297,1291,1330,1248,1418,1530,219,..,
MOZAMBIQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ 2008: Change of methodology. Until 2007 the data correspond only to 12 border posts. From 2008, the data of all the border posts of the country are used."
,Total,,Thousands,..,..,..,..,..,..,404,943,726,711,954,664,771,1439,1711,1836,2013,2206,1970,1751,1634,1715,1514,2870,2033,960,549,
,,Air,Thousands,..,..,..,..,..,..,15,55,70,116,156,140,54,109,190,508,604,730,675,739,616,605,534,1013,843,434,220,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,1,0,
,,Land,Thousands,..,..,..,..,..,..,389,888,656,595,798,524,717,1330,1521,1328,1409,1476,1295,1012,1018,1110,980,1857,1187,525,329,
MYANMAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ 2016: change in the methodology.
,Total,,Thousands,194,490,491,478,435,416,475,487,597,657,660,630,716,732,763,792,816,1059,2044,3081,4681,2907,3443,3551,4364,903,131,
,,Air,Thousands,117,172,189,201,198,206,202,215,203,240,230,261,246,191,236,308,385,586,796,1082,1221,1214,1314,1336,1792,330,19,
,,Water,Thousands,2,3,3,3,1,1,3,2,3,2,2,3,2,3,2,1,3,3,6,19,27,11,7,9,9,1,1,
,,Land,Thousands,75,315,299,274,236,209,270,270,391,415,428,366,468,538,525,483,428,470,1242,1981,3433,1682,2122,2206,2563,572,112,
NAMIBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,112,121,..,..,..,670,757,691,167,777,833,929,931,..,984,1027,1079,1176,1320,1388,1469,1499,1557,1596,170,233,
,,Air,Thousands,..,112,121,..,..,..,165,183,167,167,185,217,246,273,..,282,282,291,321,341,377,427,408,436,684,80,98,
,,Water,Thousands,..,..,..,..,..,..,..,..,4,..,3,3,6,9,..,15,15,10,12,9,10,10,9,9,39,3,1,
,,Land,Thousands,..,..,..,..,..,..,505,574,520,..,589,613,677,649,..,687,730,778,844,970,1001,1033,1083,1112,874,87,134,
NAURU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
NEPAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,363,393,422,464,491,464,361,275,338,385,375,384,527,500,510,603,736,803,798,790,539,753,940,1173,1197,230,..,
,,Air,Thousands,325,343,371,398,421,377,299,218,275,297,277,284,361,375,379,449,545,598,595,586,407,573,761,969,996,183,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,38,50,51,66,70,87,62,57,63,88,98,100,166,125,131,154,191,205,203,204,132,180,180,204,201,47,..,
NETHERLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,9874,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,3787,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,287,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,5800,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
NEW CALEDONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including nationals residing abroad.
,Total,,Thousands,86,91,107,106,102,112,101,104,102,100,101,100,103,104,99,99,112,112,108,107,114,116,121,120,131,31,12,
,,Air,Thousands,84,89,105,104,100,110,100,102,101,99,101,100,103,104,99,99,112,112,108,107,114,116,121,120,131,31,12,
,,Water,Thousands,2,2,2,2,2,2,1,2,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
NEW ZEALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ International Travel and Migration, SNZ."
,Total,,Thousands,1409,1529,1497,1485,1607,1787,1910,2045,2104,2334,2366,2409,2456,2447,2448,2511,2594,2555,2710,2854,3129,3494,3723,3858,3888,996,207,
,,Air,Thousands,1397,1518,1488,1470,1592,1776,1897,2022,2083,2322,2349,2387,2431,2408,2420,2488,2568,2532,2672,2817,3098,3461,3677,3809,3827,966,205,
,,Water,Thousands,12,11,9,15,15,11,13,23,21,12,17,22,25,39,28,23,26,23,38,36,32,34,46,48,61,31,2,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
NICARAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ From 2005 including nationals residing abroad.
,Total,,Thousands,281,302,358,406,468,486,483,472,525,614,712,749,800,858,932,1011,1060,1180,1229,1330,1386,1504,1787,1256,1295,384,222,
,,Air,Thousands,95,105,123,136,153,172,172,164,180,204,235,279,323,356,353,351,360,392,400,433,466,479,606,382,410,118,88,
,,Water,Thousands,13,15,12,13,14,17,17,17,21,13,26,28,15,26,26,14,15,17,19,22,19,16,8,7,8,3,1,
,,Land,Thousands,173,182,223,257,301,297,294,291,324,397,451,442,462,476,553,646,685,771,810,875,901,1010,1173,867,878,263,133,
NIGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,35,38,44,20,39,50,51,39,50,54,58,60,48,73,66,74,82,94,123,135,135,152,164,157,192,85,..,
,,Air,Thousands,35,38,44,20,39,50,51,39,50,54,58,60,48,73,66,74,82,94,123,135,135,152,164,157,192,85,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
NIGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,1357,1425,1492,1753,2045,2253,2646,2778,3055,5239,5603,6053,6113,3765,4673,4038,4803,6017,5266,5182,5254,5361,1209,1246,
,,Air,Thousands,..,..,..,1273,1338,1401,1646,1924,2116,2493,2618,2879,3140,3401,3662,3118,2503,2313,2439,2699,3310,1566,1451,1471,1501,339,349,
